Rank,Name,Tm,League,Year,Vote Pts,1st Place,Share,WAR,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO
2,Albert Pujols,STL,NL,2006,347,12,77%,8.5,143,535,119,177,49,137,7,92,0.331,0.431,0.671,1.102,,,,,,,,,,,,
3,Lance Berkman,HOU,NL,2006,230,0,51%,6,152,536,95,169,45,136,3,98,0.315,0.42,0.621,1.041,,,,,,,,,,,,
4,Carlos Beltrán,NYM,NL,2006,211,0,47%,8.2,140,510,127,140,41,116,18,95,0.275,0.388,0.594,0.982,,,,,,,,,,,,
5,Miguel Cabrera,FLA,NL,2006,170,0,38%,5.8,158,576,112,195,26,114,9,86,0.339,0.43,0.568,0.998,,,,,,,,,,,,
6,Alfonso Soriano,WSN,NL,2006,106,0,24%,6.1,159,647,119,179,46,95,41,67,0.277,0.351,0.56,0.911,,,,,,,,,,,,
7,José Reyes,NYM,NL,2006,98,0,22%,5.9,153,647,122,194,19,81,64,53,0.3,0.354,0.487,0.841,,,,,,,,,,,,
7,Chase Utley,PHI,NL,2006,98,0,22%,7.3,160,658,131,203,32,102,15,63,0.309,0.379,0.527,0.906,,,,,,,,,,,,
9,David Wright,NYM,NL,2006,70,0,16%,4.1,154,582,96,181,26,116,20,66,0.311,0.381,0.531,0.912,,,,,,,,,,,,
1,Jimmy Rollins,PHI,NL,2007,353,16,79%,6.1,162,716,139,212,30,94,41,49,0.296,0.344,0.531,0.875,,,,,,,,,,,,
2,Matt Holliday,COL,NL,2007,336,11,75%,6,158,636,120,216,36,137,11,63,0.34,0.405,0.607,1.012,,,,,,,,,,,,
3,Prince Fielder,MIL,NL,2007,284,5,63%,3.6,158,573,109,165,50,119,2,90,0.288,0.395,0.618,1.013,,,,,,,,,,,,
4,David Wright,NYM,NL,2007,182,0,41%,8.3,160,604,113,196,30,107,34,94,0.325,0.416,0.546,0.963,,,,,,,,,,,,
5,Ryan Howard,PHI,NL,2007,112,0,25%,2.9,144,529,94,142,47,136,1,107,0.268,0.392,0.584,0.976,,,,,,,,,,,,
6,Chipper Jones,ATL,NL,2007,107,0,24%,7.6,134,513,108,173,29,102,5,82,0.337,0.425,0.604,1.029,,,,,,,,,,,,
7,Jake Peavy,SDP,NL,2007,97,0,22%,6.8,36,73,8,17,0,7,0,2,0.233,0.25,0.315,0.565,19,6,2.54,1.061,34,34,0,223.1,169,13,68,240
8,Chase Utley,PHI,NL,2007,89,0,20%,7.8,132,530,104,176,22,103,9,50,0.332,0.41,0.566,0.976,,,,,,,,,,,,
9,Albert Pujols,STL,NL,2007,50,0,11%,8.7,158,565,99,185,32,103,2,99,0.327,0.429,0.568,0.997,,,,,,,,,,,,
1,Albert Pujols,STL,NL,2008,369,18,82%,9.2,148,524,100,187,37,116,7,104,0.357,0.462,0.653,1.114,,,,,,,,,,,,
2,Ryan Howard,PHI,NL,2008,308,12,69%,1.8,162,610,105,153,48,146,1,81,0.251,0.339,0.543,0.881,,,,,,,,,,,,
3,Ryan Braun,MIL,NL,2008,139,0,31%,4.6,151,611,92,174,37,106,14,42,0.285,0.335,0.553,0.888,,,,,,,,,,,,
4,Manny Ramirez,LAD,NL,2008,138,0,31%,3.5,53,187,36,74,17,53,2,35,0.396,0.489,0.743,1.232,,,,,,,,,,,,
5,Lance Berkman,HOU,NL,2008,126,0,28%,6.9,159,554,114,173,29,106,18,99,0.312,0.42,0.567,0.986,,,,,,,,,,,,
6,CC Sabathia,MIL,NL,2008,121,0,27%,5.2,17,48,3,11,1,6,0,0,0.229,0.229,0.333,0.563,11,2,1.65,1.003,17,17,0,130.2,106,6,25,128
7,David Wright,NYM,NL,2008,115,0,26%,6.9,160,626,115,189,33,124,15,94,0.302,0.39,0.534,0.924,,,,,,,,,,,,
8,Brad Lidge,PHI,NL,2008,104,2,23%,2.4,71,0,0,0,0,0,0,0,,,,,2,0,1.95,1.226,72,0,41,69.1,50,2,35,92
9,Carlos Delgado,NYM,NL,2008,96,0,21%,1.3,159,598,96,162,38,115,1,72,0.271,0.353,0.518,0.871,,,,,,,,,,,,
1,Albert Pujols,STL,NL,2009,448,32,100%,9.7,160,568,124,186,47,135,16,115,0.327,0.443,0.658,1.101,,,,,,,,,,,,
2,Hanley Ramírez,FLA,NL,2009,233,0,52%,7.3,151,576,101,197,24,106,27,61,0.342,0.41,0.543,0.954,,,,,,,,,,,,
3,Ryan Howard,PHI,NL,2009,217,0,48%,3.8,160,616,105,172,45,141,8,75,0.279,0.36,0.571,0.931,,,,,,,,,,,,
4,Prince Fielder,MIL,NL,2009,203,0,45%,6.3,162,591,103,177,46,141,2,110,0.299,0.412,0.602,1.014,,,,,,,,,,,,
5,Troy Tulowitzki,COL,NL,2009,172,0,38%,6.5,151,543,101,161,32,92,20,73,0.297,0.377,0.552,0.93,,,,,,,,,,,,
6,Andre Ethier,LAD,NL,2009,113,0,25%,3,160,596,92,162,31,106,6,72,0.272,0.361,0.508,0.869,,,,,,,,,,,,
7,Pablo Sandoval,SFG,NL,2009,89,0,20%,4.3,153,572,79,189,25,90,5,52,0.33,0.387,0.556,0.943,,,,,,,,,,,,
8,Chase Utley,PHI,NL,2009,84,0,19%,8.2,156,571,112,161,31,93,23,88,0.282,0.397,0.508,0.905,,,,,,,,,,,,
9,Derrek Lee,CHC,NL,2009,66,0,15%,5.4,141,532,91,163,35,111,1,76,0.306,0.393,0.579,0.972,,,,,,,,,,,,
1,Joey Votto,CIN,NL,2010,443,31,99%,7,150,547,106,177,37,113,16,91,0.324,0.424,0.6,1.024,,,,,,,,,,,,
2,Albert Pujols,STL,NL,2010,279,1,62%,7.5,159,587,115,183,42,118,14,103,0.312,0.414,0.596,1.011,,,,,,,,,,,,
3,Carlos González,COL,NL,2010,240,0,54%,5.9,145,587,111,197,34,117,26,40,0.336,0.376,0.598,0.974,,,,,,,,,,,,
4,Adrián González,SDP,NL,2010,197,0,44%,4.4,160,591,87,176,31,101,0,93,0.298,0.393,0.511,0.904,,,,,,,,,,,,
5,Troy Tulowitzki,COL,NL,2010,132,0,29%,6.7,122,470,89,148,27,95,11,48,0.315,0.381,0.568,0.949,,,,,,,,,,,,
6,Roy Halladay,PHI,NL,2010,130,0,29%,8.3,31,92,6,13,0,5,0,1,0.141,0.151,0.141,0.292,21,10,2.44,1.041,33,33,0,250.2,231,24,30,219
7,Aubrey Huff,SFG,NL,2010,70,0,16%,5.7,157,569,100,165,26,86,7,83,0.29,0.385,0.506,0.891,,,,,,,,,,,,
8,Jayson Werth,PHI,NL,2010,52,0,12%,4.5,156,554,106,164,27,85,13,82,0.296,0.388,0.532,0.921,,,,,,,,,,,,
9,Martín Prado,ATL,NL,2010,51,0,11%,5,140,599,100,184,15,66,5,40,0.307,0.35,0.459,0.809,,,,,,,,,,,,
1,Ryan Braun,MIL,NL,2011,388,20,87%,7.7,150,563,109,187,33,111,33,58,0.332,0.397,0.597,0.994,,,,,,,,,,,,
2,Matt Kemp,LAD,NL,2011,332,10,74%,8,161,602,115,195,39,126,40,74,0.324,0.399,0.586,0.986,,,,,,,,,,,,
3,Prince Fielder,MIL,NL,2011,229,1,51%,4.5,162,569,95,170,38,120,1,107,0.299,0.415,0.566,0.981,,,,,,,,,,,,
4,Justin Upton,ARI,NL,2011,214,1,48%,5.5,159,592,105,171,31,88,21,59,0.289,0.369,0.529,0.898,,,,,,,,,,,,
5,Albert Pujols,STL,NL,2011,166,0,37%,5.3,147,579,105,173,37,99,9,61,0.299,0.366,0.541,0.906,,,,,,,,,,,,
6,Joey Votto,CIN,NL,2011,135,0,30%,6.6,161,599,101,185,29,103,8,110,0.309,0.416,0.531,0.947,,,,,,,,,,,,
7,Lance Berkman,STL,NL,2011,118,0,26%,3.8,145,488,90,147,31,94,2,92,0.301,0.412,0.547,0.959,,,,,,,,,,,,
8,Troy Tulowitzki,COL,NL,2011,69,0,15%,6.2,143,537,81,162,30,105,9,59,0.302,0.372,0.544,0.916,,,,,,,,,,,,
9,Roy Halladay,PHI,NL,2011,52,0,12%,8.6,31,74,3,9,0,3,0,2,0.122,0.145,0.149,0.293,19,6,2.35,1.04,32,32,0,233.2,208,10,35,220
1,Buster Posey,SFG,NL,2012,422,27,94%,7.6,148,530,78,178,24,103,1,69,0.336,0.408,0.549,0.957,,,,,,,,,,,,
2,Ryan Braun,MIL,NL,2012,285,3,64%,6.9,154,598,108,191,41,112,30,63,0.319,0.391,0.595,0.987,,,,,,,,,,,,
3,Andrew McCutchen,PIT,NL,2012,245,0,55%,6.9,157,593,107,194,31,96,20,70,0.327,0.4,0.553,0.953,,,,,,,,,,,,
4,Yadier Molina,STL,NL,2012,241,2,54%,7.2,138,505,65,159,22,76,12,45,0.315,0.373,0.501,0.874,,,,,,,,,,,,
5,Chase Headley,SDP,NL,2012,127,0,28%,6.4,161,604,95,173,31,115,17,86,0.286,0.376,0.498,0.875,,,,,,,,,,,,
6,Adam LaRoche,WSN,NL,2012,86,0,19%,4.2,154,571,76,155,33,100,1,67,0.271,0.343,0.51,0.853,,,,,,,,,,,,
6,David Wright,NYM,NL,2012,86,0,19%,7.1,156,581,91,178,21,93,15,81,0.306,0.391,0.492,0.883,,,,,,,,,,,,
8,Craig Kimbrel,ATL,NL,2012,73,0,16%,3.2,59,0,0,0,0,0,0,0,,,,,3,1,1.01,0.654,63,0,42,62.2,27,3,14,116
9,Aramis Ramírez,MIL,NL,2012,47,0,10%,5.6,149,570,92,171,27,105,9,44,0.3,0.36,0.54,0.901,,,,,,,,,,,,
1,Andrew McCutchen,PIT,NL,2013,409,28,97%,7.8,157,583,97,185,21,84,27,78,0.317,0.404,0.508,0.911,,,,,,,,,,,,
2,Paul Goldschmidt,ARI,NL,2013,242,0,58%,6.3,160,602,103,182,36,125,15,99,0.302,0.401,0.551,0.952,,,,,,,,,,,,
3,Yadier Molina,STL,NL,2013,219,2,52%,6.2,136,505,68,161,12,80,3,30,0.319,0.359,0.477,0.836,,,,,,,,,,,,
4,Matt Carpenter,STL,NL,2013,194,0,46%,6.6,157,626,126,199,11,78,3,72,0.318,0.392,0.481,0.873,,,,,,,,,,,,
5,Freddie Freeman,ATL,NL,2013,154,0,37%,5.3,147,551,89,176,23,109,1,66,0.319,0.396,0.501,0.897,,,,,,,,,,,,
6,Joey Votto,CIN,NL,2013,149,0,35%,6.6,162,581,101,177,24,73,6,135,0.305,0.435,0.491,0.926,,,,,,,,,,,,
7,Clayton Kershaw,LAD,NL,2013,146,0,35%,8.6,35,77,8,14,1,10,0,5,0.182,0.241,0.26,0.501,16,9,1.83,0.915,33,33,0,236,164,11,52,232
8,Hanley Ramírez,LAD,NL,2013,58,0,14%,5.2,86,304,62,105,20,57,10,27,0.345,0.402,0.638,1.04,,,,,,,,,,,,
9,Carlos Gómez,MIL,NL,2013,43,0,10%,7.6,147,536,80,152,24,73,40,37,0.284,0.338,0.506,0.843,,,,,,,,,,,,
1,Clayton Kershaw,LAD,NL,2014,355,18,85%,8.2,26,63,5,11,0,3,1,4,0.175,0.235,0.206,0.442,21,3,1.77,0.857,27,27,0,198.1,139,9,31,239
2,Giancarlo Stanton,MIA,NL,2014,298,8,71%,6.5,145,539,89,155,37,105,13,94,0.288,0.395,0.555,0.95,,,,,,,,,,,,
3,Andrew McCutchen,PIT,NL,2014,271,4,65%,6.4,146,548,89,172,25,83,18,84,0.314,0.41,0.542,0.952,,,,,,,,,,,,
4,Jonathan Lucroy,MIL,NL,2014,167,0,40%,6.4,153,585,73,176,13,69,4,66,0.301,0.373,0.465,0.837,,,,,,,,,,,,
5,Anthony Rendon,WSN,NL,2014,155,0,37%,6.5,153,613,111,176,21,83,17,58,0.287,0.351,0.473,0.824,,,,,,,,,,,,
6,Buster Posey,SFG,NL,2014,152,0,36%,5.1,147,547,72,170,22,89,0,47,0.311,0.364,0.49,0.854,,,,,,,,,,,,
7,Adrián González,LAD,NL,2014,57,0,14%,4.4,159,591,83,163,27,116,1,56,0.276,0.335,0.482,0.817,,,,,,,,,,,,
8,Adam Wainwright,STL,NL,2014,53,0,13%,6.4,30,72,4,13,0,6,0,3,0.181,0.213,0.222,0.436,20,9,2.38,1.031,32,32,0,227,184,10,50,179
9,Josh Harrison,PIT,NL,2014,52,0,12%,5.6,143,520,77,164,13,52,18,22,0.315,0.347,0.49,0.837,,,,,,,,,,,,
1,Bryce Harper,WSN,NL,2015,420,30,100%,9.7,153,521,118,172,42,99,6,124,0.33,0.46,0.649,1.109,,,,,,,,,,,,
2,Paul Goldschmidt,ARI,NL,2015,234,0,56%,8.3,159,567,103,182,33,110,21,118,0.321,0.435,0.57,1.005,,,,,,,,,,,,
3,Joey Votto,CIN,NL,2015,175,0,42%,7.8,158,545,95,171,29,80,11,143,0.314,0.459,0.541,1,,,,,,,,,,,,
4,Anthony Rizzo,CHC,NL,2015,162,0,39%,6.4,160,586,94,163,31,101,17,78,0.278,0.387,0.512,0.899,,,,,,,,,,,,
5,Andrew McCutchen,PIT,NL,2015,139,0,33%,5,157,566,91,165,23,96,11,98,0.292,0.401,0.488,0.889,,,,,,,,,,,,
6,Jake Arrieta,CHC,NL,2015,134,0,32%,8.6,30,79,5,12,2,2,0,1,0.152,0.163,0.266,0.428,22,6,1.77,0.865,33,33,0,229,150,10,48,236
7,Zack Greinke,LAD,NL,2015,130,0,31%,9.5,30,67,8,15,2,3,1,1,0.224,0.232,0.343,0.575,19,3,1.66,0.844,32,32,0,222.2,148,14,40,200
8,Nolan Arenado,COL,NL,2015,102,0,24%,6.3,157,616,97,177,42,130,2,34,0.287,0.323,0.575,0.898,,,,,,,,,,,,
9,Buster Posey,SFG,NL,2015,84,0,20%,5.9,150,557,74,177,19,95,2,56,0.318,0.379,0.47,0.849,,,,,,,,,,,,
1,Kris Bryant,CHC,NL,2016,415,29,99%,7.3,155,603,121,176,39,102,8,75,0.292,0.385,0.554,0.939,,,,,,,,,,,,
2,Daniel Murphy,WSN,NL,2016,245,1,58%,4.5,142,531,88,184,25,104,5,35,0.347,0.39,0.595,0.985,,,,,,,,,,,,
3,Corey Seager,LAD,NL,2016,240,0,57%,5.2,157,627,105,193,26,72,3,54,0.308,0.365,0.512,0.877,,,,,,,,,,,,
4,Anthony Rizzo,CHC,NL,2016,202,0,48%,5.8,155,583,94,170,32,109,3,74,0.292,0.385,0.544,0.928,,,,,,,,,,,,
5,Nolan Arenado,COL,NL,2016,199,0,47%,5.9,160,618,116,182,41,133,2,68,0.294,0.362,0.57,0.932,,,,,,,,,,,,
6,Freddie Freeman,ATL,NL,2016,129,0,31%,6.3,158,589,102,178,34,91,6,89,0.302,0.4,0.569,0.968,,,,,,,,,,,,
7,Joey Votto,CIN,NL,2016,100,0,24%,4.2,158,556,101,181,29,97,8,108,0.326,0.434,0.55,0.985,,,,,,,,,,,,
8,Yoenis Céspedes,NYM,NL,2016,45,0,11%,3,132,479,72,134,31,86,3,51,0.28,0.354,0.53,0.884,,,,,,,,,,,,
9,Justin Turner,LAD,NL,2016,44,0,10%,5,151,556,79,153,27,90,4,48,0.275,0.339,0.493,0.832,,,,,,,,,,,,
1,Giancarlo Stanton,MIA,NL,2017,302,10,72%,7.9,159,597,123,168,59,132,2,85,0.281,0.376,0.631,1.007,,,,,,,,,,,,
2,Joey Votto,CIN,NL,2017,300,10,71%,8.1,162,559,106,179,36,100,5,134,0.32,0.454,0.578,1.032,,,,,,,,,,,,
3,Paul Goldschmidt,ARI,NL,2017,239,4,57%,6.3,155,558,117,166,36,120,18,94,0.297,0.404,0.563,0.966,,,,,,,,,,,,
4,Nolan Arenado,COL,NL,2017,229,2,55%,6.7,159,606,100,187,37,130,3,62,0.309,0.373,0.586,0.959,,,,,,,,,,,,
5,Charlie Blackmon,COL,NL,2017,205,3,49%,5.5,159,644,137,213,37,104,14,65,0.331,0.399,0.601,1,,,,,,,,,,,,
6,Anthony Rendon,WSN,NL,2017,141,0,34%,6.1,147,508,81,153,25,100,7,84,0.301,0.403,0.533,0.937,,,,,,,,,,,,
7,Kris Bryant,CHC,NL,2017,132,1,31%,5.7,151,549,111,162,29,73,7,95,0.295,0.409,0.537,0.946,,,,,,,,,,,,
8,Justin Turner,LAD,NL,2017,43,0,10%,5.6,130,457,72,147,21,71,7,59,0.322,0.415,0.53,0.945,,,,,,,,,,,,
9,Cody Bellinger,LAD,NL,2017,38,0,9%,3.9,132,480,87,128,39,97,10,64,0.267,0.352,0.581,0.933,,,,,,,,,,,,
1,Christian Yelich,MIL,NL,2018,415,29,99%,7.3,147,574,118,187,36,110,22,68,0.326,0.402,0.598,1,,,,,,,,,,,,
2,Javier Báez,CHC,NL,2018,250,0,60%,6.4,160,606,101,176,34,111,21,29,0.29,0.326,0.554,0.881,,,,,,,,,,,,
3,Nolan Arenado,COL,NL,2018,203,0,48%,6.4,156,590,104,175,38,110,2,73,0.297,0.374,0.561,0.935,,,,,,,,,,,,
4,Freddie Freeman,ATL,NL,2018,174,0,41%,5.5,162,618,94,191,23,98,10,76,0.309,0.388,0.505,0.892,,,,,,,,,,,,
5,Jacob deGrom,NYM,NL,2018,141,1,34%,9.9,30,67,1,11,0,5,0,4,0.164,0.211,0.179,0.39,10,9,1.7,0.912,32,32,0,217,152,10,46,269
6,Paul Goldschmidt,ARI,NL,2018,115,0,27%,5.5,158,593,95,172,33,83,7,90,0.29,0.389,0.533,0.922,,,,,,,,,,,,
7,Lorenzo Cain,MIL,NL,2018,109,0,26%,6.9,141,539,90,166,10,38,30,71,0.308,0.395,0.417,0.813,,,,,,,,,,,,
8,Trevor Story,COL,NL,2018,108,0,26%,6.2,157,598,88,174,37,108,27,47,0.291,0.348,0.567,0.914,,,,,,,,,,,,
9,Matt Carpenter,STL,NL,2018,105,0,25%,4.4,156,564,111,145,36,81,4,102,0.257,0.374,0.523,0.897,,,,,,,,,,,,
1,Cody Bellinger,LAD,NL,2019,362,19,86%,8.6,156,558,121,170,47,115,15,95,0.305,0.406,0.629,1.035,,,,,,,,,,,,
2,Christian Yelich,MIL,NL,2019,317,10,75%,7,130,489,100,161,44,97,30,80,0.329,0.429,0.671,1.1,,,,,,,,,,,,
3,Anthony Rendon,WSN,NL,2019,242,1,58%,7.1,146,545,117,174,34,126,5,80,0.319,0.412,0.598,1.01,,,,,,,,,,,,
4,Ketel Marte,ARI,NL,2019,198,0,47%,6.9,144,569,97,187,32,92,10,53,0.329,0.389,0.592,0.981,,,,,,,,,,,,
5,Ronald Acuña Jr.,ATL,NL,2019,155,0,37%,5.1,156,626,127,175,41,101,37,76,0.28,0.365,0.518,0.883,,,,,,,,,,,,
6,Nolan Arenado,COL,NL,2019,120,0,29%,7.3,155,588,102,185,41,118,3,62,0.315,0.379,0.583,0.962,,,,,,,,,,,,
7,Pete Alonso,NYM,NL,2019,102,0,24%,5.5,161,597,103,155,53,120,1,72,0.26,0.358,0.583,0.941,,,,,,,,,,,,
8,Freddie Freeman,ATL,NL,2019,90,0,21%,3.7,158,597,113,176,38,121,6,87,0.295,0.389,0.549,0.938,,,,,,,,,,,,
9,Juan Soto,WSN,NL,2019,45,0,11%,5,150,542,110,153,34,110,12,108,0.282,0.401,0.548,0.949,,,,,,,,,,,,
1,Freddie Freeman,ATL,NL,2020,410,28,98%,3.3,60,214,51,73,13,53,2,45,0.341,0.462,0.64,1.102,,,,,,,,,,,,
2,Mookie Betts,LAD,NL,2020,268,2,64%,3.6,55,219,47,64,16,39,10,24,0.292,0.366,0.562,0.927,,,,,,,,,,,,
3,Manny Machado,SDP,NL,2020,221,0,53%,3.2,60,224,44,68,16,47,6,26,0.304,0.37,0.58,0.95,,,,,,,,,,,,
4,Fernando Tatis Jr.,SDP,NL,2020,201,0,48%,2.8,59,224,50,62,17,45,11,27,0.277,0.366,0.571,0.937,,,,,,,,,,,,
5,Juan Soto,WSN,NL,2020,172,0,41%,2.4,47,154,39,54,13,37,6,41,0.351,0.49,0.695,1.185,,,,,,,,,,,,
6,Marcell Ozuna,ATL,NL,2020,167,0,40%,2.6,60,228,38,77,18,56,0,38,0.338,0.431,0.636,1.067,,,,,,,,,,,,
7,Trea Turner,WSN,NL,2020,83,0,20%,2.8,59,233,46,78,12,41,12,22,0.335,0.394,0.588,0.982,,,,,,,,,,,,
8,Mike Yastrzemski,SFG,NL,2020,81,0,19%,2.7,54,192,39,57,10,35,2,30,0.297,0.4,0.568,0.968,,,,,,,,,,,,
9,Corey Seager,LAD,NL,2020,43,0,10%,2.1,52,212,38,65,15,41,1,17,0.307,0.358,0.585,0.943,,,,,,,,,,,,
1,Bryce Harper,PHI,NL,2021,348,17,83%,5.9,141,488,101,151,35,84,13,100,0.309,0.429,0.615,1.044,,,,,,,,,,,,
2,Juan Soto,WSN,NL,2021,274,6,65%,7.1,151,502,111,157,29,95,9,145,0.313,0.465,0.534,0.999,,,,,,,,,,,,
3,Fernando Tatis Jr.,SDP,NL,2021,244,2,58%,6.6,130,478,99,135,42,97,25,62,0.282,0.364,0.611,0.975,,,,,,,,,,,,
4,Brandon Crawford,SFG,NL,2021,213,4,51%,6.1,138,483,79,144,24,90,11,56,0.298,0.373,0.522,0.895,,,,,,,,,,,,
5,Trea Turner,TOT,NL,2021,185,1,44%,6.4,148,595,107,195,28,77,32,41,0.328,0.375,0.536,0.911,,,,,,,,,,,,
6,Paul Goldschmidt,STL,NL,2021,128,0,30%,6,158,603,102,177,31,99,12,67,0.294,0.365,0.514,0.879,,,,,,,,,,,,
7,Austin Riley,ATL,NL,2021,111,0,26%,6.3,160,590,91,179,33,107,0,52,0.303,0.367,0.531,0.898,,,,,,,,,,,,
8,Tyler O'Neill,STL,NL,2021,62,0,15%,6.1,138,482,89,138,34,80,15,38,0.286,0.352,0.56,0.912,,,,,,,,,,,,
9,Freddie Freeman,ATL,NL,2021,43,0,10%,4.9,159,600,120,180,31,83,8,85,0.3,0.393,0.503,0.896,,,,,,,,,,,,
1,Paul Goldschmidt,STL,NL,2022,380,22,90%,7.7,151,561,106,178,35,115,7,79,0.317,0.404,0.578,0.981,,,,,,,,,,,,
2,Manny Machado,SDP,NL,2022,291,7,69%,6.7,150,578,100,172,32,102,9,63,0.298,0.366,0.531,0.898,,,,,,,,,,,,
3,Nolan Arenado,STL,NL,2022,232,1,55%,7.7,148,557,73,163,30,103,5,52,0.293,0.358,0.533,0.891,,,,,,,,,,,,
4,Freddie Freeman,LAD,NL,2022,220,0,52%,6.2,159,612,117,199,21,100,13,84,0.325,0.407,0.511,0.918,,,,,,,,,,,,
5,Mookie Betts,LAD,NL,2022,154,0,37%,6.7,142,572,117,154,35,82,12,55,0.269,0.34,0.533,0.873,,,,,,,,,,,,
6,Austin Riley,ATL,NL,2022,116,0,28%,6.3,159,615,90,168,38,93,2,57,0.273,0.349,0.528,0.878,,,,,,,,,,,,
7,J.T. Realmuto,PHI,NL,2022,98,0,23%,6.6,139,504,75,139,22,84,21,41,0.276,0.342,0.478,0.82,,,,,,,,,,,,
8,Pete Alonso,NYM,NL,2022,81,0,19%,4.4,160,597,95,162,40,131,5,67,0.271,0.352,0.518,0.869,,,,,,,,,,,,
9,Francisco Lindor,NYM,NL,2022,77,0,18%,5.6,161,630,98,170,26,107,16,59,0.27,0.339,0.449,0.788,,,,,,,,,,,,
